name,category,full_address,city,state,zip,phone,website,cuisine,hours,lat,lon
Yummy World,Cafe/Coffee,,Auburn,AL,,,,bubble_tea,"Mo,We-Th,Su 12:00-21:00; Fr-Sa 12:00-21:30",32.5757276,-85.4968946
Hyundai of Auburn,Car Dealership,,Auburn,AL,,,,,,32.6179201,-85.463609
Advance Auto Parts,Car Parts,446 Opelika Road,Auburn,AL,36830,,https://stores.advanceautoparts.com/al/auburn/446-opelika-rd,,,32.6129312,-85.4734769
Auburn Generator and Starter,Car Parts,225 North College Street,Auburn,AL,36830,,,,,32.6097276,-85.4820538
"Auburn, AL - South College Street Supercharger",Charging Station,110 East University Drive,Auburn,AL,36832,,https://www.tesla.com/findus/location/supercharger/AuburnALSupercharger22,,24/7,32.57645,-85.49764
Auburn Church of Christ,Church/Worship,720 South College Street,Auburn,AL,36830,,,,,32.5922719,-85.4839191
Auburn First Assembly Of God,Church/Worship,447 North College Street,Auburn,AL,36830,,,,,32.6138087,-85.4813994
Auburn First Baptist Church,Church/Worship,128 East Glenn Avenue,Auburn,AL,36830,+1-334-821-8125,,,,32.6086981,-85.4808221
Auburn Unitarian Universalist Fellowship,Church/Worship,450 East Thach Avenue,Auburn,AL,36830,,,,,32.6039726,-85.4733014
Auburn United Methodist Church,Church/Worship,137 South Gay Street,Auburn,AL,36830,,https://aumc.net,,,32.6056087,-85.478713
Bell Baptist Church,Church/Worship,348 Foster Street,Auburn,AL,36832,,,,,32.611789,-85.4984323
Church of Christ,Church/Worship,,Auburn,AL,,,,,,32.6106689,-85.4866903
First Presbyterian Church of Auburn,Church/Worship,,Auburn,AL,,,,,,32.6045861,-85.4805256
Grace United Methodist Church,Church/Worship,,Auburn,AL,,,,,,32.6100127,-85.4624402
Saint Lukes Christian Methodist Episcopal Church,Church/Worship,,Auburn,AL,,,,,,32.6094133,-85.4905568
St. Dunstan's The Episcopal Church,Church/Worship,136 East Magnolia Avenue,Auburn,AL,36830,,https://saintdunstans.us,,,32.6062375,-85.4807886
Trinity Lutheran Church,Church/Worship,446 South Gay Street,Auburn,AL,36830,+1-334-887-3901,,,,32.5971818,-85.4802571
True Deliverance Holiness Church,Church/Worship,936 North Donahue Drive,Auburn,AL,36832,,,,,32.6236593,-85.4934171
University Church of Christ,Church/Worship,449 North Gay Street,Auburn,AL,36830,,,,,32.6136539,-85.4805828
Village Christian Church,Church/Worship,,Auburn,AL,,,,,,32.5846918,-85.4678235
White Street Baptist Church,Church/Worship,535 Carlisle Drive,Auburn,AL,36832,,,,,32.614216,-85.4927661
Charming Oaks Clothing Company,Clothing Store,,Auburn,AL,,,,,,32.6072911,-85.4818945
DressUp,Clothing Store,,Auburn,AL,,,,,,32.6067176,-85.4803878
Elisabet Boutique,Clothing Store,124 North College Street,Auburn,AL,36830,,,,,32.6072198,-85.4815352
Ellie Clothing,Clothing Store,113 North College Street,Auburn,AL,36830,,,,,32.6070004,-85.4819156
Stamp,Clothing Store,115 North College Street,Auburn,AL,36832,,https://www.stampauburn.com/,,,32.6070623,-85.4819133
Wrapsody,Clothing Store,112 North College Street,Auburn,AL,,,,,Mo-Fr 10:00-18:00; Sa 10:00-17:00,32.6070271,-85.48154
fab'rik,Clothing Store,140 North College Street,Auburn,AL,36830,,,,,32.6076589,-85.4815159
Edward Via College of Osteopathic Medicine,College,,Auburn,AL,,,,,,32.5896427,-85.4923309
Carrol Commons,Common,,Auburn,AL,,,,,,32.6057478,-85.4875044
Boykin Community Center,Community Centre,400 Boykin Street,Auburn,AL,36832,,,,,32.6120562,-85.4940549
Frank Brown Recreation Center,Community Centre,,Auburn,AL,,+1-334-501-2930,https://www.auburnal.gov/parks/facilities/frank-brown-rec-center/,,Mo-Th 6:00-21:00; Fr 06:00-18:00; Sa 08:00-12:00; Su 13:00-18:00,32.6128691,-85.4781605
Alabama Power,Company,,Auburn,AL,,,,,,32.6018606,-85.5104663
Archangel Solutions,Company,,Auburn,AL,,,,,,32.6025018,-85.5151279
B & B Beverage Management,Company,209 Alabama Street,Auburn,AL,36832,+1 334 734 2468,https://beveragemgmt.com,,,32.6037538,-85.5114211
Groomingdales,Company,435 N Dean Rd,Auburn,AL,36830,+1-334-826-8195,https://www.groomingdalesal.com/,,Tu-Fr 07:30-17:30,32.6139919,-85.4651649
SuperSigns Screenprinting,Company,1705 Pumphrey Avenue,Auburn,AL,36832,+1 800 874 7044,https://www.supersigns.biz/,,,32.6024193,-85.5159044
VADA LLC,Company,1510 Pumphrey Avenue,Auburn,AL,36832,,,,,32.6030796,-85.5109631
W. H. Tomas Oil Company,Company,1525 Pumphrey Avenue,Auburn,AL,36832,+1 334 246 5574,https://www.whthomasoil.com/,,Mo-Fr 06:00-17:00,32.6024069,-85.5116437
Weston Solutions,Company,1625 Pumphrey Avenue,Auburn,AL,36832,+1 334 466 5600,https://www.westonsolutions.com,,,32.6023289,-85.5144882
Woodley Enterprises,Computer Store,557 Temple Street,Auburn,AL,36830,,,,,32.6161592,-85.4704194
The Auburn Popcorn Company,Confectionery,,Auburn,AL,,,,,,32.6069051,-85.4815397
University Doughnut Company,Confectionery,,Auburn,AL,,,,,,32.606691,-85.4804294
Delaware Consulting,Consulting,,Auburn,AL,,,,,,32.6067412,-85.4805659
Corner Market,Convenience Store,850 Martin Luther King Drive,Auburn,AL,36832,,,,Mo-Su 07:00-9:00,32.6105858,-85.4987266
Grub Mart,Convenience Store,,Auburn,AL,,,,,,32.6086124,-85.4795
Elbert Lee DMD,Dentist,827 Stage Road,Auburn,AL,36830,,,,,32.615186,-85.4635339
Professional Cleaners,Dry Cleaning,300 North Dean Road,Auburn,AL,,+1-334-826-0273,,,Mo-Fr 07:00-18:00; Sa 08:00-12:00,32.6112351,-85.4640432
Vapor Craft,E-Cigarette,,Auburn,AL,,,,,,32.6095674,-85.4819266
Mises Institute,Educational Institution,518 West Magnolia Avenue,Auburn,AL,36832,,,,,32.6068276,-85.4911305
Love Stuff,Erotic,,Auburn,AL,,,,,,32.57555,-85.4969655
Auburn Realty,Estate Agent,,Auburn,AL,,,,,,32.6089054,-85.4841618
Garden District Main Office,Estate Agent,,Auburn,AL,,,,,,32.5777275,-85.4899136
Liberty Properties,Estate Agent,,Auburn,AL,,,,,,32.6107086,-85.4814773
Northcutt Realty,Estate Agent,248 South Gay Street,Auburn,AL,36830,+1 334-826-7720,https://www.northcuttrealty.com/,,Mo-Fr 08:30-17:00,32.6026316,-85.4803767
Prestige Properties,Estate Agent,103 North Dean Road,Auburn,AL,,+1-334-887-5274,,,,32.6154954,-85.4639784
Weichert Realtors Porter Properties,Estate Agent,472 North Dean Road,Auburn,AL,36830,+1-334-887-2070,,,Mo-Fr 08:00-17:00,32.6157196,-85.4639664
BurgerFi,Fast Food,339 South College Street,Auburn,AL,36830,+1-334-521-5030,,burger,,32.5999194,-85.4815552
Chick-fil-A,Fast Food,255 Heisman Drive,Auburn,AL,36849,+1 334-844-1284,https://www.chick-fil-a.com/locations/al/auburn-university,chicken,Mo-Th 07:30-20:00; Fr 07:30-17:00; Su off,32.6020469,-85.4869481
Chipotle,Fast Food,346 West Magnolia Avenue,Auburn,AL,36832,+1 334-821-7740,https://locations.chipotle.com/al/auburn/346-w-magnolia-ave,mexican,Mo-Su 10:45-23:00,32.6068041,-85.4873209
Domino's,Fast Food,1100 South College Street,Auburn,AL,36830,+1 334-539-4040,https://pizza.dominos.com/alabama/auburn/1100-s-college-st,pizza,Mo-Th 10:00-24:00; Fr-Sa 10:00-01:00; Su 10:00-24:00,32.5847695,-85.4899815
Dunkin',Fast Food,171 North College Street,Auburn,AL,36830,+1 334-707-8552,https://locations.dunkindonuts.com/en/al/auburn/171-n-college-st/359341,donut;coffee_shop,06:00-18:00,32.6086863,-85.4819218
Einstein Bros. Bagels,Fast Food,351 West Thach Concourse,Auburn,AL,36849,+1 800-224-3563,https://locations.einsteinbros.com/us/al/auburn/351-west-thach-concourse,bagel,Oct 03-May 16 Mo-Th 07:00-15:00; Fr 07:00-14:00,32.603779,-85.4868767
Foosackly's,Fast Food,131 North Dean Road,Auburn,AL,36830,,,chicken,,32.6076001,-85.4653911
Guthrie's,Fast Food,,Auburn,AL,,,,chicken,,32.6093608,-85.4811547
Hardee's,Fast Food,800 Wire Road,Auburn,AL,36832,+1 334-329-7028,https://locations.hardees.com/al/auburn/800-wire-rd,burger,,32.593257,-85.5054262
Jack's,Fast Food,,Auburn,AL,,,https://locations.eatatjacks.com/al/auburn/1645-s-college-street/,burger,Mo-Th 05:00-22:00; Fr-Sa 05:00-23:00; Su 06:00-22:00,32.5759663,-85.4980389
Jimmy John's,Fast Food,126 North College Street,Auburn,AL,36830,+1 334-502-0444,https://locations.jimmyjohns.com/al/auburn/sandwiches-553.html,sandwich,,32.6072838,-85.4815417
Little Caesars,Fast Food,,Auburn,AL,,,https://littlecaesars.com/en-us/store/7577/,pizza,Mo-Su 10:30-22:00,32.5760046,-85.4967871
McDonald's,Fast Food,224 West Magnolia Avenue,Auburn,AL,36830,+1 334-821-7185,https://www.mcdonalds.com/us/en-us/location/3427.html,burger,24/7,32.6070807,-85.4838628
Mochiatsu,Fast Food,132 North College Street,Auburn,AL,36830,,https://www.mochiatsu.com/,donut,,32.6074878,-85.4815248
Panda Express,Fast Food,1310 Wilmore Drive,Auburn,AL,36849,+1 334-844-1818,https://www.pandaexpress.com/locations/al/auburn/2010,chinese,Mo-Fr 10:00-21:00,32.6048795,-85.4852165
Panera Bread,Fast Food,231 Mell Street,Auburn,AL,36849,+1 334-844-9271,https://locations.panerabread.com/al/auburn/231-mell-st.html,sandwich;bakery,Mo-Th 00:00-24:00; Fr 00:00-17:00; Sa 09:00-17:00; Su 13:00-24:00,32.6029548,-85.4827267
Papa John's,Fast Food,211 North College Street,Auburn,AL,36830,+1 334-826-7272,https://locations.papajohns.com/united-states/al/36830/auburn/211-n-college-st,pizza,Mo-Th 10:30-23:00; Fr-Sa 10:30-00:30; Su 10:30-23:00,32.6093995,-85.4819311
Smoothie King,Fast Food,,Auburn,AL,,,,juice,,32.5794888,-85.4958099
Sonic,Fast Food,322 North Dean Road,Auburn,AL,36830,+1 334-821-6235,https://locations.sonicdrivein.com/al/auburn/322-north-dean-road.html,burger,Mo-Fr 07:00-02:00; Sa-Su 08:00-02:00,32.6115973,-85.4641119
Subway,Fast Food,334 West Magnolia Avenue,Auburn,AL,36832,+1 334-826-2476,https://restaurants.subway.com/united-states/al/auburn/334-w-magnolia-ave,sandwich,08:00-21:00,32.6067224,-85.4866658
Taco Bell,Fast Food,271 South Gay Street,Auburn,AL,36830,+1 334-821-2017,https://locations.tacobell.com/al/auburn/271-s-gay-st.html,tex-mex,08:00-02:00,32.6017506,-85.4796213
Taco Mama,Fast Food,149 East Magnolia Avenue,Auburn,AL,36830,+1-334-734-5030,http://www.tacomamaonline.com/auburn/,mexican,"Su-Th 11:00-21:30, Fr-Sa 11:00-22:30",32.6066923,-85.4804866
Taziki's Mediterranean Cafe,Fast Food,339 South College Street,Auburn,AL,36830,,,mediterranean,,32.5996554,-85.4815956
The Edge at Central Dining,Fast Food,,Auburn,AL,,,,,,32.6002844,-85.4875047
Willie's Wings and Stuff,Fast Food,422-b South Gay Street,Auburn,AL,36830,,,wings,,32.5980365,-85.4802985
Wings Etc.,Fast Food,201 West Glenn Avenue,Auburn,AL,36830,+1-334-521-5095,https://wingsetc.com/,chicken,"Mo-Th 11:00-23:00, Fr-Sa 11:00-24:00, Su 11:00-22:00",32.6088757,-85.4833081
Wingstop,Fast Food,231 North Dean Road,Auburn,AL,36830,+1 334-780-9464,,wings,,32.610123,-85.4653343
Security Finance,Financial,,Auburn,AL,,,,,,32.6145852,-85.4701678
"Auburn Fire Department, Station #1",Fire Station,,Auburn,AL,,,,,,32.6071359,-85.4755023
Ann Vance Ginn Plaza Fountain,Fountain,,Auburn,AL,,,,,,32.6056007,-85.4864906
Anne Terrell Basore Memorial Garden,Garden,,Auburn,AL,,,,,,32.6051309,-85.4828463
Carnivorous Plant Garden,Garden,,Auburn,AL,,,,,,32.5947657,-85.4838413
Centennial Garden,Garden,,Auburn,AL,,,,,,32.6044468,-85.4838568
Chevron,Gas Station,,Auburn,AL,,,,,,32.5777535,-85.4971886
Circle K,Gas Station,,Auburn,AL,,,,,,32.5931578,-85.5060201
Exxon,Gas Station,,Auburn,AL,,,,,,32.5985938,-85.4802792
Marathon,Gas Station,,Auburn,AL,,,,,,32.6161366,-85.4649301
Shell,Gas Station,,Auburn,AL,,,,,,32.6138468,-85.4718036
SÄCO (Saco),Gas Station,802 Opelika Road,Auburn,AL,36830,+1-334-246-3830,,,,32.6165353,-85.4640754
Valero,Gas Station,,Auburn,AL,,,https://locations.valero.com/en-us/LocationDetails/Index/435-N-DEAN-RD/0000024721,,,32.614186,-85.4649488
Toomer's Drugs,General,100 North College Street,Auburn,AL,36830,+1-334-887-3488,http://www.toomersdrugs.com/,,"Su 12:00-17:00, Mo-Fr 10:00-18:00, Sa 10:00-19:00",32.6067044,-85.4815391
Auburn Flowers and Gifts,Gift,,Auburn,AL,,,,,,32.6094788,-85.4819274
Bailey-Alexander Complex,Government,1501 West Samford Avenue,Auburn,AL,36832,,,,,32.600056,-85.5099456
Westview Cemetery,Grave Yard,700 Westview Drive,Auburn,AL,36830,,https://www.auburnalabama.org/parks/facilities/westview-cemetery/,,,32.6204128,-85.4955298
Aldi,Grocery/Supermarket,1617 South College Street,Auburn,AL,36832,,,,,32.5762905,-85.4967187
Kroger,Grocery/Supermarket,300 North Dean Road,Auburn,AL,36830,+1 334-821-1325,https://www.kroger.com/stores/grocery/al/auburn/corner-village/011/00260,,Mo-Su 06:00-23:00,32.6105188,-85.4634465
Publix,Grocery/Supermarket,138 South Gay Street,Auburn,AL,36830,+1 334-502-3616,https://www.publix.com/locations/1822,,Mo-Su 07:00-22:00,32.6053305,-85.4808115
Crossfit On the Plains,Gym/Fitness,467 North Dean Road,Auburn,AL,36830,,,,,32.614553,-85.4657378
Max Fitness,Gym/Fitness,,Auburn,AL,,,,,,32.5797413,-85.4919501
My Gym,Gym/Fitness,300 North Dean Road,Auburn,AL,,,,,,32.6112028,-85.4635359
Tiger Iron Gym,Gym/Fitness,1655 South College Street,Auburn,AL,36832,,,,,32.5752982,-85.4970578
Campus Barber Shop,Hair Salon/Barber,,Auburn,AL,,,,,,32.6069401,-85.4818883
Great Clips,Hair Salon/Barber,,Auburn,AL,,,,,,32.6095756,-85.463684
Precision Cuts Barber & Beauty,Hair Salon/Barber,,Auburn,AL,,,,,,32.6132148,-85.4756287
Statik Salon,Hair Salon/Barber,1100 South College Street,Auburn,AL,36830,+1-334-821-5555,https://www.statiksalonauburn.com,,Tu-Fr 10:00-18:00; Sa 10:00-15:00,32.5848947,-85.4900944
Unique Image,Hair Salon/Barber,460 Opelika Road,Auburn,AL,36830,,,,,32.6131602,-85.4728898
Auburn Hardware,Hardware Store,117 East Magnolia Avenue,Auburn,AL,36830,,,,,32.6068033,-85.4812057
Russell Building Supply,Hardware Store,141 Bragg Avenue,Auburn,AL,36830,,,,,32.6108055,-85.4845711
Auburn University Medical Clinic,Hospital/Medical,400 Lem Morrison Drive,Auburn,AL,36849,,https://cws.auburn.edu/aumc/,,,32.5931187,-85.488034
Dr. Lo's Chiropractor Service,Hospital/Medical,North Dean Road,Auburn,AL,,,,,,32.6112315,-85.4639141
East Alabama Medical Center Freestanding Emergency Department,Hospital/Medical,900 Camp Auburn Road,Auburn,AL,36832,+1 334 364 3000,,,,32.5845503,-85.500735
AC Hotel Auburn,Hotel/Lodging,146 North Gay Street,Auburn,AL,36830,+1-334-591-1116,https://www.marriott.com/en-us/hotels/csgar-ac-hotel-auburn/overview/,,,32.6079936,-85.4797174
Auburn University Hotel and Dixon Conference Center,Hotel/Lodging,241 South College Street,Auburn,AL,36849,+1-334-821-8200,https://www.auhcc.com/,,,32.6029392,-85.4809584
Graduate by Hilton Auburn AL,Hotel/Lodging,202 West Magnolia Avenue,Auburn,AL,36830,+1 334 752 4100,https://www.hilton.com/en/hotels/aubgagu-graduate-auburn-al/,,,32.6070181,-85.4833282
The Collegiate Hotel at Auburn,Hotel/Lodging,205 South Gay Street,Auburn,AL,36830,+1-334-821-2646,https://staycoho.com/,,,32.6039219,-85.4795779
Towneplace Suites,Hotel/Lodging,1117 South College Street,Auburn,AL,36832,+1 334-466-8390,https://www.marriott.com/csgau,,,32.5830914,-85.4897944
Sno Biz,Ice Cream/Dessert,,Auburn,AL,,,,,,32.5763932,-85.4979833
TCBY,Ice Cream/Dessert,300 North Dean Road,Auburn,AL,36830,+1-334-826-8828,,frozen_yogurt,"Su 12:00-23:00, Mo-Sa 11:00-23:00",32.6112328,-85.463778
The Yard Milkshake Bar,Ice Cream/Dessert,147 North College Street,Auburn,AL,36830,,,,,32.6079032,-85.481941
Foy Information Helpdesk,Information,,Auburn,AL,,+1 334 844 4244,,,,32.6022638,-85.4868945
Insurance Solutions Group,Insurance,,Auburn,AL,,,,,,32.615786,-85.4638704
"Reli, Inc.",Insurance,,Auburn,AL,,,,,,32.6157681,-85.4639628
ATS Alabama Corporation,It,933 Shug Jordan Parkway,Auburn,AL,36832,,,,,32.6038952,-85.50873
Jewelry by Design,Jewelry,590 North Dean Road,Auburn,AL,36830,+1-334-821-9940,,,"Mo-Fr 10:00-18:00, Sa 10:00-17:00",32.6192631,-85.4640875
Ware Jewellers,Jewelry,111 South College Street,Auburn,AL,36830,,,,,32.6062049,-85.4813879
Huff Smith Law,Lawyer,369 South College Street,Auburn,AL,36830,+1 334-329-5596,https://www.huffsmithlaw.com,,"Mo-Fr 08:00-17:30; Sa,Su off",32.5989327,-85.4814317
McCollum and Wilson,Lawyer,363 East Glenn Avenue,Auburn,AL,36830,+1 334 821 7799,https://www.mcwlegal.com/,,,32.6094279,-85.475564
Slocumb Law Firm,Lawyer,145 East Magnolia Avenue,Auburn,AL,36830,+1-334-741-4110,https://www.slocumblaw.com/alabama/auburn-al-lawyer,,,32.6067364,-85.4804929
The Bogdany Law Firm LLP,Lawyer,165 East Magnolia Avenue,Auburn,AL,36830,+1-334-539-8778,https://www.youralabamaattorneys.com/,,,32.6067011,-85.4801879
Auburn Public Library,Library,749 East Thach Avenue,Auburn,AL,36830-5545,+1 334-501-3190,,,,32.6049401,-85.4655898
"Library of Architecture, Design, and Construction",Library,,Auburn,AL,,,,,,32.5992363,-85.4861779
Ralph Brown Draughon Library and Mell Classroom Building,Library,231 Mell Street,Auburn,AL,36849,,https://www.lib.auburn.edu/,,,32.6030194,-85.4828458
Book Deposit,Library Dropoff,,Auburn,AL,,,,,,32.6026429,-85.4831165
ABC Store,Liquor Store,,Auburn,AL,,,,,,32.584273,-85.4879656
Z&Z Tobacco & Spirits,Liquor Store,203 Opelika Road,Auburn,AL,36830,+1-334-209-0078,,,Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 12:00-22:00,32.6124748,-85.4794698
Julie Collins Smith Museum of Fine Art,Museum,901 South College Street,Auburn,AL,36849,,,,,32.5877518,-85.4837379
Mountain High Outfitters,Outdoor,339 South College Street,Auburn,AL,36830,,,,,32.5998073,-85.4815939
Agricultural Heritage Park,Park,,Auburn,AL,,,http://www.ag.auburn.edu/heritagepark/,,,32.5948825,-85.4923579
Auburn University Historic District,Park,,Auburn,AL,,,,,,32.6044569,-85.4838459
Bowden Park,Park,,Auburn,AL,,,,,,32.5998125,-85.4662145
Cater Lawn,Park,,Auburn,AL,,,,,,32.6037834,-85.4848394
Davis Arboretum,Park,,Auburn,AL,,,,,,32.5946549,-85.4836255
Felton Little Park,Park,,Auburn,AL,,,,,,32.610254,-85.4768191
Garden of Memory,Park,,Auburn,AL,,,,,,32.5969495,-85.4843986
Graham McTeer Park,Park,,Auburn,AL,,,,,,32.6028626,-85.4743346
Kiwanis Fitness Trail,Park,,Auburn,AL,,,,,,32.5981001,-85.4747085
